DATASET	Abbreviation	Sites	SUBJECT	SCANS	MALES	FEMALES	MINAGE	MAXAGE	MEANAGE	STD	Median	Q25	Q75	CDR0_0	CDR0_5	CDR1_0	CDR2_0	CDR3_0	Race	Ethnicity	Pathology	LINK	Description	Population	Data	Design	Publication	Research_Article_1_Link	Research_Article_1_Title	Research_Article_1_Description	Research_Article_2_Link	Research_Article_2_Title	Research_Article_2_Description	Platform	Tip1	Tip2	anat	rs-fMRI	t-fMRI	dwi	eeg	pet	cognitive	behavioural	genetics	fluid_biomarkers	Others	Drawback
Lexical	A longitudinal neuroimaging dataset on multisensory lexical processing in school-aged children	1	188	376	99	89	7.4	16.4	11.2	1.9	11	9.7	12.6	0	0	0	0	0	White	Not Hispanic or Latino	HC	https://openneuro.org/datasets/ds001894/versions/1.4.2	Children dataset is an open-access neuroimaging resource designed to investigate how children process spoken and written language over time. It combines multimodal neuroimaging with behavioral assessments to explore the neural mechanisms underlying reading development in school-aged children.​	earth	neuroimaging (MRI)	Cross-sectional	https://www.nature.com/articles/s41597-019-0338-5	https://doi.org/10.1038/s41539-023-00201-x	Arithmetic skills are associated with left fronto-temporal gray matter volume in 536 children and adolescents	NA	https://doi.org/10.1162/netn_a_00414	Patterns of the left thalamus embedding into the connectome associated with reading skills in children with reading disabilities	NA	openNeuro			1	1	1	0	0	0	0	0	0	0	Race, Ethnicity	
MCSA	The Mayo Clinic Study of Aging	7	1802	3090	968	834	49	89.9	72.8	9.8	74.4	65.4	80.5	2606	402	34	2	1	White	Not Hispanic	AD	https://www.mayo.edu/research/centers-programs/alzheimers-disease-research-center/research-activities/mayo-clinic-study-aging/overview	A population-based study including imaging and clinical data to investigate aging and Alzheimer's disease.​	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1159/000115751		Flortaucipir PET uncovers relationships between tau and amyloid-β in primary age–related tauopathy and Alzheimer’s disease	18[F]-Flortaucipir positron emission tomography (PET) is considered a good biomarker of Alzheimer’s disease. This study  tries to indentify how flortaucipir is associated with the distribution of tau across brain regions and how these associations are influenced by amyloid-β	https://doi.org/10.1038/s41591-022-02049-x	Amyloid and tau PET-positive cognitively unimpaired individuals are at high risk for future cognitive decline	A major unanswered question in the dementia field is whether cognitively unimpaired individuals who harbor both Alzheimer’s disease neuropathological hallmarks (that is, amyloid-β plaques and tau neurofibrillary tangles) can preserve their cognition over time or are destined to decline. In this large multicenter amyloid and tau PET study, the authors examined the risk for future progression to mild cognitive impairment and the rate of cognitive decline over time among cognitively unimpaired individuals who were amyloid PET-positive and tau PET-positive	IDA LONI			1	0	0	0	0	1	1	0	0	0		
MIRIAD	Minimal Interval Resonance Imaging in Alzheimer's Disease	1	69	708	31	38								0	0	0	0	0			AD	https://www.ucl.ac.uk/drc/research-clinical-trials/minimal-interval-resonance-imaging-alzheimers-disease-miriad	A dataset with longitudinal MRI scans of Alzheimer's patients and controls, used for evaluating brain atrophy.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1016/j.neuroimage.2012.12.044	https://doi.org/10.1016/j.asoc.2024.111749	Information fusion-based Bayesian optimized heterogeneous deep ensemble model based on longitudinal neuroimaging data	NA	https://openaccess.thecvf.com/content/ACCV2024/papers/Chen_MedBLIP_Bootstrapping_Language-Image_Pre-training_from_3D_Medical_Images_and_Texts_ACCV_2024_paper.pdf	MedBLIP: Bootstrapping Language-Image Pretraining from 3D Medical Images and Texts	NA	NA			1	0	0	0	0	0	1	0	0	0		
MPI	MPI-Leipzig Mind-Brain-Body	1	318	318	189	129	22.5	77.5	37.3	18.6	27.5	22.5	57.5	0	0	0	0	0			HC	https://openneuro.org/datasets/ds000221/versions/00002	This dataset aims to explore the interplay between brain structure, function, and emotional processing across the adult lifespan. It provides valuable insights into how these factors contribute to individual differences in emotional regulation and cognitive performance. 	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/sdata.2018.308	https://doi.org/10.1073/pnas.2310012121	Deep learning models reveal replicable, generalizable, and behaviorally relevant sex differences in human functional brain organization	NA	https://doi.org/10.1038/s41598-024-66049-2	Aperiodic component of EEG power spectrum and cognitive performance are modulated by education in aging	NA	openNeuro			1	1	0	0	1	0	1	1	0	0		
NACC	Standardized Centralized Alzheimer’s & Related Dementias Neuroimaging	56	3179	3726	1272	1907	21	98	72.4	8.7	73	67	78	1938	981	185	51	6	White	Not Hispanic	AD	https://scan.naccdata.org/	A database aggregating clinical and imaging data from Alzheimer's Disease Centers across the U.S.​	earth	neuroimaging (MRI)	Longitudinal	https://scan.naccdata.org/	https://doi.org/10.1002/alz.14378	Positron emission tomography harmonization in the Alzheimer’s Disease Neuroimaging Initiative: A scalable and rigorous approach to multisite amyloid and tau quantification	NA			NA	IDA LONI			1	1	0	0	0	1	1	1	0	0		
narratives		1	315	315	132	183	18	53	22	4.8	21	19	23	0	0	0	0	0			HC	https://snastase.github.io/datasets/ds002345	functional MRI data collected over seven years (2011–2018) while participants listened to naturalistic spoken stories. This dataset is well-suited for evaluating models of naturalistic language comprehension and serves as a benchmark for understanding how the brain processes complex auditory narratives. 	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41597-021-01033-3	https://doi.org/10.1016/j.bandl.2025.105569	Revealing human brain syntactic processing: insights from voxel-wise models and network representation	NA	https://doi.org/10.1038/s41467-025-56162-9	Incremental accumulation of linguistic context in artificial and biological neural networks	NA	openNeuro			1	0	0	1	0	0	0	0	0	0		
NIFD	The Frontotemporal Lobar Degeneration Neuroimaging Initiative 	11	330	3730	180	150	36	90	65	8.1	65	59	71	849	846	634	446	43	White		AD	https://memory.ucsf.edu/research-trials/research/allftd	A dataset focusing on imaging biomarkers in frontotemporal dementia.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1002/alz.12033	https://doi.org/10.1038/s41591-022-02075-9	CSF tau microtubule-binding region identifies pathological changes in primary tauopathies	NA	https://doi.org/10.1038/s41591-022-01942-9	Temporal order of clinical and biomarker changes in familial frontotemporal dementia	NA	IDA LONI			1	1	0	1	0	1	0	0	0	0		
NKI	Enhanced Nathan Kline Institute - Rockland Sample	1	1340	2345	532	808	6	85	36.2	22.7	36	14	57	0	0	0	0	0	White	Not Hispanic or Latino or Spanish	HC	https://fcon_1000.projects.nitrc.org/indi/enhanced/	Offers several datasets, including the Enhanced NKI-Rockland Sample, with multimodal imaging and behavioral data across the lifespan.​	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.3389/fnins.2012.00152	http://dx.doi.org/10.1016/j.neuron.2016.09.018	The Dynamics of Functional Brain Networks: Integrated Network States during Cognitive Task Performance	NA	https://doi.org/10.1038/s41593-024-01679-3	A shifting role of thalamocortical connectivity in the emergence of cortical functional organization	NA	indi			1	1	0	1	0	0	1	1	1	0		
NPC	Neuroimaging predictors of creativity in healthy adults	1	66	66	29	36	20	35	26.6	4.3	25	23	30	0	0	0	0	0					This dataset investigates the neural correlates of creativity in healthy adults by assessing structural and functional brain features alongside performance on various creativity tasks.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2019.116292	https://doi.org/10.3389/fnagi.2021.607988	Healthy Aging Alters the Functional Connectivity of Creative Cognition in the Default Mode Network and Cerebellar Network	NA	https://doi.org/10.1038/s41598-020-80293-2	Static and dynamic functional connectivity supports the configuration of brain networks associated with creative cognition	NA	openNeuro			1	0	1	1	0	0	0	0	0	0		
OASIS1	Open Access Series of Imaging Studies 1	1	416	416	160	256	18	96	52.7	25.1	56	24	75	316	70	28	2	0			AD	https://sites.wustl.edu/oasisbrains/home/oasis-1/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1162/jocn.2007.19.9.1498	http://openaccess.thecvf.com/content/ICCV2023/papers/Butoi_UniverSeg_Universal_Medical_Image_Segmentation_ICCV_2023_paper.pdf	Universeg: Universal medical image segmentation	NA	https://doi.org/10.1073/pnas.2216399120	Robust machine learning segmentation for large-scale analysis of heterogeneous clinical brain MRI datasets	NA	oasis			1	0	0	0	0	0	1	0	0	0		
OASIS2	Open Access Series of Imaging Studies 2	1	150	373	62	88	60	98	77	7.6	77	71	82	206	123	41	3	0			AD	https://sites.wustl.edu/oasisbrains/home/oasis-2/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1162/jocn.2009.21407	https://doi.org/10.1152/jn.00339.2011	The organization of the human cerebellum estimated by intrinsic functional connectivity	NA	https://doi.org/10.1038/s42256-023-00670-0	The importance of resource awareness in artificial intelligence for healthcare	NA	oasis			1	0	0	0	0	0	1	0	0	0		
OASIS3	Open Access Series of Imaging Studies 3	1	1063	1088	478	585	43	97	70.4	8.7	71	66	76	813	275	0	0	0	White	Non-Hispanic	AD	https://sites.wustl.edu/oasisbrains/home/oasis-3/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1101/2019.12.13.19014902	https://doi.org/10.1038/s41591-024-02931-w	APOE4 homozygosity represents a distinct genetic form of Alzheimer’s disease	NA	https://doi.org/10.1038/s41591-024-03144-x	Brain aging patterns in a large and diverse cohort of 49,482 individuals	NA	oasis			1	1	0	1	0	0	1	1	1	0		
Pixar	MRI data of 3-12 year old children and adults during viewing of a short animated film	1	155	155	71	84	3.5	39	10.6	8.1	7.7	5.3	11	0	0	0	0	0			HC	https://openneuro.org/datasets/ds000228/versions/1.1.1	MRI data from children (ages 3–12) and adults while viewing a silent version of Disney Pixar's animated short film "Partly Cloudy." The study aimed to investigate the development of the social brain by examining how different age groups process social and emotional cues during naturalistic movie viewing. This dataset provides insights into the neural mechanisms underlying social cognition and its development across the lifespan.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41467-018-03399-2	https://doi.org/10.1073/pnas.2405460121	Evaluating large language models in theory of mind tasks	NA	https://doi.org/10.1016/j.neuroimage.2020.117445	Movies and narratives as naturalistic stimuli in neuroimaging	NA	openNeuro			1	0	1	0	0	0	0	0	0	0		
PNC	Philadelphia neurodevelopmental cohort 	1	1601	1601	764	837	8.1	23.1	14.9	3.7	15.2	11.8	18	0	0	0	0	0		not Hispanic or Latino	HC	https://www.med.upenn.edu/bbl/philadelphianeurodevelopmentalcohort.html	A dataset with imaging and cognitive data from youths aged 8–21 to study brain development.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2015.03.056	https://doi.org/10.1038/s41467-018-04920-3	Task-induced brain state manipulation improves prediction of individual traits	NA	https://doi.org/10.1038/s41593-021-00908-3	Multivariate analysis of 1.5 million people identifies genetic associations with traits related to self-regulation and addiction	NA	RBC			1	1	0	0	0	0	0	0	0	0		
PPMI	Parkinson's progression markers initiative	1	33	33	17	16	34	79	66.7	9.5	69	62	74	0	0	0	0	0			Parkinsons	https://www.ppmi-info.org/	A longitudinal study collecting imaging and clinical data to identify biomarkers of Parkinson's disease progression.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1002/acn3.644	https://doi.org/10.3389/fnagi.2021.633752	Machine Learning for the Diagnosis of Parkinson's Disease: A Review of Literature	NA	https://doi.org/10.1093/brain/awx118	Clinical criteria for subtyping Parkinson’s disease: biomarkers and longitudinal progression	NA	IDA LONI			1	1	0	1	0	1	1	1	0	0	CT, SPECT	
preventAD	PResymptomatic EValuation of Experimental or Novel Treatments for Alzheimer's Disease	1	308	1375	0	0	55	88.2	64.6	5.4	63.6	61.1	67.5	0	0	0	0	0			AD		A longitudinal study focusing on cognitively healthy individuals over 55 with a family history of Alzheimer's disease. It collects multimodal MRI, cerebrospinal fluid biomarkers, genetic data, and cognitive assessments to identify early indicators of Alzheimer's disease progression. ​	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1016/j.nicl.2021.102733	https://doi.org/10.1002/ana.26308	Plasma p-tau231, p-tau181, PET Biomarkers, and Cognitive Change in Older Adult	NA	https://doi.org/10.1002/alz.13318	Longitudinal blood biomarker trajectories in preclinical Alzheimer's disease	NA	COINS			1	1	0	0	0	0	1	0	0	0		
RBPL1	The Reading Brain Project L1 Adults	1	52	52	25	27	18	40	22.8	4.7	22	19	24.2	0	0	0	0	0			HC	https://blclab.org/reading-brain	This dataset includes neuroimaging and behavioral data from 52 native English-speaking adults. Participants underwent two sessions involving reading tasks, aiming to explore the neural mechanisms underlying reading in first-language (L1) adults.	earth	neuroimaging (MRI)	Cross-sectional	NA	https://doi.org/10.1126/sciadv.adn7744	Predicting the next sentence (not word) in large language models: What model-brain alignment tells us about discourse comprehension	NA	https://doi.org/10.3758/s13428-022-01842-3	From eye movements to scanpath networks: A method for studying individual differences in expository text reading	NA	openNeuro			1	1	0	1	0	0	0	0	0	0		
RBPL2	The Reading Brain Project L2 Adults	1	52	52	25	27	18	40	22.8	4.7	22	19	24.2	0	0	0	0	0			HC	https://blclab.org/reading-brain	This dataset comprises data from 56 bilingual adults who are second-language (L2) English readers. It investigates how bilingualism and second-language acquisition influence the neural processes of reading.	earth	neuroimaging (MRI)	Cross-sectional	NA	https://doi.org/10.1080/02702711.2021.1912867	Predicting Expository Text Processing: Causal Content Density as a Critical Expository Text Metric	NA	https://doi.org/10.1016/j.bandc.2020.105655	Effects of socioeconomic status in predicting reading outcomes for children: The mediation of spoken language network	NA	openNeuro			1	1	0	1	0	0	0	0	0	0		
SALD	Southwest University Adult Lifespan Dataset	1	494	494	185	307	19	80	45.2	17.4	48	25	59	0	0	0	0	0	Chinese	Chinese	HC	https://fcon_1000.projects.nitrc.org/indi/retro/sald.html	A cross-sectional dataset from Southwest University in China, encompassing structural and resting-state fMRI data from 494 healthy adults aged 19 to 80. It serves as a resource for studying brain aging and lifespan-related neural changes. ​	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/sdata.2018.134	https://doi.org/10.1038/s42003-022-03880-1	Choice of Voxel-based Morphometry processing pipeline drives variability in the location of neuroanatomical brain markers	NA	https://doi.org/10.1111/psyp.14159	The older adult brain is less modular, more integrated, and less efficient at rest: A systematic review of large-scale resting-state functional brain networks in aging	NA	indi			1	1	0	0	0	0	0	1	0	0		
SLIM	Southwest University Longitudinal Imaging Multimodal	1	594	1048	264	330	17	28.4	20.7	1.4	20.6	20	21.5	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/southwestuni_qiu_index.html	A longitudinal dataset featuring multimodal MRI (structural, diffusion, and resting-state fMRI) and behavioral assessments collected over three and a half years. It includes repeated measures from healthy young adults, facilitating research on brain development and test-retest reliability.	earth	neuroimaging (MRI)	Test-Retest	https://doi.org/10.1038/sdata.2017.17	https://doi.org/10.1001/jamaneurol.2019.1708	Progressive Cortical Thinning in Patients With Focal Epilepsy	NA	https://doi.org/10.1038/s41398-020-0829-3	A neuromarker of individual general fluid intelligence from the white-matter functional connectome	NA	indi			1	1	0	1	0	0	0	1	0	0		
SRPBS	Japanese Strategic Research Program for the Promotion of Brain Science	11	1410	1410	808	602	16	80	38.4	13.6	37	27	47	0	0	0	0	0	Asian	Asian	Multiple	https://bicr-resource.atr.jp/srpbsopen/	A Japanese nationwide initiative providing a multi-site, multi-disorder MRI dataset. It includes resting-state fMRI and structural MRI data from 993 patients across various psychiatric disorders and 1,421 healthy controls, supporting research into brain network markers and cross-site harmonization. ​	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41597-021-01004-8		A neuroimaging biomarker for Individual Brain-Related Abnormalities In Neurodegeneration (IBRAIN): a cross-sectional study	NA	https://doi.org/10.1093/schbul/sbad022	Aberrant Large-Scale Network Interactions Across Psychiatric Disorders Revealed by Large-Sample Multi-Site Resting-State Functional Magnetic Resonance Imaging Datasets	NA	NA			1	1	0	0	0	0	1	0	0	0	0	
YALE_HighRes	Yale High-Resolution Controls	1	120	120	68	52	18	58	28.8	8.5	27	23	32	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html	A dataset comprising high-resolution structural MRI scans from healthy control participants. It is utilized for studies requiring detailed anatomical brain imaging and serves as a control group in various neuroimaging analyses. ​	earth	neuroimaging (MRI)	Cross-sectional	https://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html	https://doi.org/10.1038/nn.4135	Functional connectome fingerprinting: Identifying individuals based on patterns of brain connectivity	NA	https://doi.org/10.1016/j.neuroimage.2013.05.081	Groupwise whole-brain parcellation from resting-state fMRI data for network node identification	NA	indi			1	1	0	0	0	0	0	0	0	0		
YALE_LowRes	Yale Low-Resolution Controls	1	100	100	50	50	18	66	34.3	11.3	32	25	42	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/yale_lowres.html	This dataset includes low-resolution resting-state fMRI data from 100 healthy individuals. It is designed for assessing the intrinsic organization of the human brain at rest and is suitable for studies focusing on functional connectivity.	earth	neuroimaging (MRI)	Cross-sectional	https://fcon_1000.projects.nitrc.org/indi/retro/yale_lowres.html#:~:text=The%20Yale%20Low%2DResolution%20Controls,the%20human%20brain%20at%20rest.	https://doi.org/10.1016/j.neuroimage.2009.12.119	Graph-theory based parcellation of functional subunits in the brain from resting-state fMRI data	NA	https://doi.org/10.1016/j.jneumeth.2011.04.020	Social network theory applied to resting-state fMRI connectivity data in the identification of epilepsy networks with iterative feature selection	NA	indi			1	1	0	0	0	0	0	0	0	0		
