DATASET	Abbreviation	Sites	SUBJECT	SCANS	MALES	FEMALES	MINAGE	MAXAGE	MEANAGE	STD	Median	Q25	Q75	CDR0_0	CDR0_5	CDR1_0	CDR2_0	CDR3_0	Race	Ethnicity	Pathology	LINK	Description	Population	Data	Design	Publication	Research_Article_1_Link	Research_Article_1_Title	Research_Article_1_Description	Research_Article_2_Link	Research_Article_2_Title	Research_Article_2_Description	Platform	Tip1	Tip2	anat	rs-fMRI	t-fMRI	dwi	eeg	pet	cognitive	behavioural	genetics	fluid_biomarkers	Others	Drawback
PNC	Philadelphia neurodevelopmental cohort 	1	1601	1601	764	837	8.1	23.1	14.9	3.7	15.2	11.8	18	0	0	0	0	0		not Hispanic or Latino	HC	https://www.med.upenn.edu/bbl/philadelphianeurodevelopmentalcohort.html	A dataset with imaging and cognitive data from youths aged 8–21 to study brain development.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2015.03.056							RBC			1											
PPMI	Parkinson's progression markers initiative	1	33	33	17	16	34	79	66.7	9.5	69	62	74	0	0	0	0	0			Parkinsons	https://www.ppmi-info.org/	A longitudinal study collecting imaging and clinical data to identify biomarkers of Parkinson's disease progression.	earth	neuroimaging (MRI)	Longitudinal								IDA LONI			1											
preventAD	PResymptomatic EValuation of Experimental or Novel Treatments for Alzheimer's Disease	1	308	1375	0	0	55	88.2	64.6	5.4	63.6	61.1	67.5	0	0	0	0	0			AD		A longitudinal study focusing on cognitively healthy individuals over 55 with a family history of Alzheimer's disease. It collects multimodal MRI, cerebrospinal fluid biomarkers, genetic data, and cognitive assessments to identify early indicators of Alzheimer's disease progression. ​	earth	neuroimaging (MRI)	Longitudinal								COINS			1											
RBPL1	The Reading Brain Project L1 Adults	1	52	52	25	27	18	40	22.8	4.7	22	19	24.2	0	0	0	0	0			HC	https://blclab.org/reading-brain	This dataset includes neuroimaging and behavioral data from 52 native English-speaking adults. Participants underwent two sessions involving reading tasks, aiming to explore the neural mechanisms underlying reading in first-language (L1) adults.	earth	neuroimaging (MRI)	Cross-sectional								openNeuro			1											
RBPL2	The Reading Brain Project L2 Adults	1	52	52	25	27	18	40	22.8	4.7	22	19	24.2	0	0	0	0	0			HC	https://blclab.org/reading-brain	This dataset comprises data from 56 bilingual adults who are second-language (L2) English readers. It investigates how bilingualism and second-language acquisition influence the neural processes of reading.	earth	neuroimaging (MRI)	Cross-sectional								openNeuro			1											
SALD	Southwest University Adult Lifespan Dataset	1	494	494	185	307	19	80	45.2	17.4	48	25	59	0	0	0	0	0	Chinese	Chinese	HC	https://fcon_1000.projects.nitrc.org/indi/retro/sald.html	A cross-sectional dataset from Southwest University in China, encompassing structural and resting-state fMRI data from 494 healthy adults aged 19 to 80. It serves as a resource for studying brain aging and lifespan-related neural changes. ​	earth	neuroimaging (MRI)	Cross-sectional								indi			1											
SLIM	Southwest University Longitudinal Imaging Multimodal	1	594	1048	264	330	17	28.4	20.7	1.4	20.6	20	21.5	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/southwestuni_qiu_index.html	A longitudinal dataset featuring multimodal MRI (structural, diffusion, and resting-state fMRI) and behavioral assessments collected over three and a half years. It includes repeated measures from healthy young adults, facilitating research on brain development and test-retest reliability.	earth	neuroimaging (MRI)	Test-Retest								indi			1											
SRPBS	Japanese Strategic Research Program for the Promotion of Brain Science	11	1410	1410	808	602	16	80	38.4	13.6	37	27	47	0	0	0	0	0	Asian	Asian	Multiple	https://bicr-resource.atr.jp/srpbsopen/	A Japanese nationwide initiative providing a multi-site, multi-disorder MRI dataset. It includes resting-state fMRI and structural MRI data from 993 patients across various psychiatric disorders and 1,421 healthy controls, supporting research into brain network markers and cross-site harmonization. ​	earth	neuroimaging (MRI)	Cross-sectional								NA			1											
YALE_HighRes	Yale High-Resolution Controls	1	120	120	68	52	18	58	28.8	8.5	27	23	32	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html	A dataset comprising high-resolution structural MRI scans from healthy control participants. It is utilized for studies requiring detailed anatomical brain imaging and serves as a control group in various neuroimaging analyses. ​	earth	neuroimaging (MRI)	Cross-sectional								indi			1											
YALE_LowRes	Yale Low-Resolution Controls	1	100	100	50	50	18	66	34.3	11.3	32	25	42	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/yale_lowres.html	This dataset includes low-resolution resting-state fMRI data from 100 healthy individuals. It is designed for assessing the intrinsic organization of the human brain at rest and is suitable for studies focusing on functional connectivity.	earth	neuroimaging (MRI)	Cross-sectional								indi			1											
